seed,fold,method,patient_macro_auroc,patient_macro_auprc
11,3,svm_classical_fixed_4g_4l,0.9617194554146308,0.926807042208243
11,4,global_only,0.5395832388285949,0.405349263588525
11,4,local_only,0.4372342763016137,0.3322179723945354
11,4,fixed_4g_4l,0.4900242924430231,0.3504907662668833
11,4,random_allocation,0.5735422880353221,0.4467870018977939
11,4,proposed_lsa_glqie,0.6394665254765873,0.481495928129112
11,4,classical_proposed,0.8877511935948469,0.79211720756249
11,4,classical_fixed_4g_4l,0.9261195267580716,0.8361022574125446
11,4,svm_classical_proposed,0.9642290114426336,0.9159173653606852
11,4,fixed_2g_6l,0.6135582168089907,0.4891122393229611
11,4,fixed_6g_2l,0.4469585776280822,0.3635757430953566
11,4,shuffled_size_allocation,0.6707729448054526,0.523233825814435
11,4,lesion_size_only,0.7890813241625936,0.6363911244216175
11,4,svm_classical_fixed_4g_4l,0.9843728618302922,0.9639135957528056
11,5,global_only,0.622118972118972,0.4360648660862623
11,5,local_only,0.4313348313348313,0.3488361357679581
11,5,fixed_4g_4l,0.5346242846242846,0.3741354063509776
11,5,random_allocation,0.560972385972386,0.4403226603693895
11,5,proposed_lsa_glqie,0.5342550092550092,0.3838537727832403
11,5,classical_proposed,0.8834325334325334,0.8191901622636578
11,5,classical_fixed_4g_4l,0.9798141798141798,0.9575270818452636
11,5,svm_classical_proposed,0.9643179893179892,0.9111913655252212
11,5,fixed_2g_6l,0.712925512925513,0.5895206665427035
11,5,fixed_6g_2l,0.5213180963180962,0.4040102855795558
11,5,shuffled_size_allocation,0.54992104992105,0.4450475680165035
11,5,lesion_size_only,0.6284930034930035,0.4698537222217203
11,5,svm_classical_fixed_4g_4l,0.9864948364948364,0.966089872355381
22,1,global_only,0.6220832880779117,0.4904994816726497
22,1,local_only,0.4505896781434416,0.330985436038532
22,1,fixed_4g_4l,0.3706943991890228,0.341307898988672
22,1,random_allocation,0.4571051011911227,0.320674749169943
22,1,proposed_lsa_glqie,0.6570521523478513,0.5390834021048315
22,1,classical_proposed,0.8420183012924949,0.7029064553980446
22,1,classical_fixed_4g_4l,0.911593986459578,0.8461445351313116
22,1,svm_classical_proposed,0.920127801310597,0.8513102489136122
22,1,fixed_2g_6l,0.5967868650664349,0.4426465838647749
22,1,fixed_6g_2l,0.5755987292277615,0.44593309391292
22,1,shuffled_size_allocation,0.5357907027261867,0.3778314649046897
22,1,lesion_size_only,0.7208889975019007,0.5995816668318353
22,1,svm_classical_fixed_4g_4l,0.9605648781724052,0.9262076326129152
22,2,global_only,0.6164382529011528,0.4827658624537034
22,2,local_only,0.4830907332747613,0.375495405028068
22,2,fixed_4g_4l,0.4711791521890978,0.3682849272010798
22,2,random_allocation,0.6014900291424862,0.481700296145217
22,2,proposed_lsa_glqie,0.6453840579993823,0.5141179219213142
22,2,classical_proposed,0.8529197385770049,0.7638344587319872
22,2,classical_fixed_4g_4l,0.9585530717425632,0.9323204705663954
22,2,svm_classical_proposed,0.9277369385905015,0.8635218277583663
22,2,fixed_2g_6l,0.6567234337428344,0.5358647307485083
22,2,fixed_6g_2l,0.5672852873786918,0.4255574343948016
22,2,shuffled_size_allocation,0.5933158069232465,0.4343616051956842
22,2,lesion_size_only,0.7493715667912487,0.5818774409195792
22,2,svm_classical_fixed_4g_4l,0.9767039653392136,0.9578386946304364
22,3,global_only,0.5946913912922684,0.5296067385416644
22,3,local_only,0.4271664819910434,0.3097661829018743
22,3,fixed_4g_4l,0.6230832601446636,0.4730873520584868
22,3,random_allocation,0.5539289130297903,0.4340913386521224
22,3,proposed_lsa_glqie,0.5507584825019036,0.4218712448537047
22,3,classical_proposed,0.9062902456542808,0.8197071822944357
22,3,classical_fixed_4g_4l,0.947987897823424,0.899057017467304
22,3,svm_classical_proposed,0.9435519808326824,0.8830512565870551
22,3,fixed_2g_6l,0.5873134642323238,0.4079050039137192
22,3,fixed_6g_2l,0.383871519562309,0.2908846677337627
22,3,shuffled_size_allocation,0.5167433585744989,0.4042088646665736
22,3,lesion_size_only,0.7764750681417348,0.6793386317721485
22,3,svm_classical_fixed_4g_4l,0.9617194554146308,0.926807042208243
22,4,global_only,0.5379391871458435,0.404510131581067
22,4,local_only,0.5071292957128871,0.405308109896154
22,4,fixed_4g_4l,0.3945149449793412,0.3141121832927346
22,4,random_allocation,0.4291971444448224,0.3141811162177111
22,4,proposed_lsa_glqie,0.6165425819450587,0.490736868028808
22,4,classical_proposed,0.8646567871413072,0.762409387245596
22,4,classical_fixed_4g_4l,0.9389965770383728,0.87290842966236
22,4,svm_classical_proposed,0.9648555778586738,0.9163672079157908
22,4,fixed_2g_6l,0.6292328672359632,0.4730539129146393
22,4,fixed_6g_2l,0.4123294425732506,0.3253610686221872
22,4,shuffled_size_allocation,0.5166043880440165,0.3931883242152392
22,4,lesion_size_only,0.7855814120520003,0.6317502583343856
22,4,svm_classical_fixed_4g_4l,0.9843728618302922,0.9639135957528056
22,5,global_only,0.6426610926610927,0.4986476510795551
22,5,local_only,0.4447257697257696,0.3628894479367074
22,5,fixed_4g_4l,0.4836447336447336,0.4055833483902544
22,5,random_allocation,0.5361624611624611,0.4270698211518289
22,5,proposed_lsa_glqie,0.5755281755281755,0.4599713700753199
22,5,classical_proposed,0.8835677335677335,0.8162623839909781
22,5,classical_fixed_4g_4l,0.9889903389903392,0.979777564373524
22,5,svm_classical_proposed,0.9656000406000406,0.912128144795334
22,5,fixed_2g_6l,0.7185132685132686,0.6206224157956013
22,5,fixed_6g_2l,0.5529846529846529,0.4066634645944638
22,5,shuffled_size_allocation,0.4937708687708688,0.4060250317145321
22,5,lesion_size_only,0.6390953890953891,0.4922653408538646
22,5,svm_classical_fixed_4g_4l,0.9864948364948364,0.966089872355381
33,1,global_only,0.5456943991890228,0.3946878406662904
33,1,local_only,0.5377570507946853,0.4164926394175541
33,1,fixed_4g_4l,0.523247257521451,0.3872865249411319
33,1,random_allocation,0.5285901125954889,0.4067403754012224
33,1,proposed_lsa_glqie,0.5770677202128816,0.4715777421234187
33,1,classical_proposed,0.8366899279533689,0.698843672132603
33,1,classical_fixed_4g_4l,0.9109767025089608,0.845601056870442
33,1,svm_classical_proposed,0.920127801310597,0.8513102489136122
33,1,fixed_2g_6l,0.4722208645595742,0.3485232352067368
33,1,fixed_6g_2l,0.4846855653307266,0.3736721900506337
33,1,shuffled_size_allocation,0.6476602947033056,0.4988602366541122
33,1,lesion_size_only,0.7204961804424169,0.59946936137582
33,1,svm_classical_fixed_4g_4l,0.9605648781724052,0.9266807102599058
33,2,global_only,0.6302891477840769,0.4859173763819402
33,2,local_only,0.5241208226633208,0.3892628553380409
33,2,fixed_4g_4l,0.4612836535315761,0.3340195960888877
33,2,random_allocation,0.5248199776188391,0.4043237014271241
33,2,proposed_lsa_glqie,0.5814020936992539,0.4463224819117895
33,2,classical_proposed,0.8567025248059731,0.7719234891871984
33,2,classical_fixed_4g_4l,0.953702876480636,0.9204390538180832
33,2,svm_classical_proposed,0.9284089816012542,0.8704662722028108
33,2,fixed_2g_6l,0.6389130531232867,0.5053491745346318
33,2,fixed_6g_2l,0.5635641117917177,0.4066110932515881
33,2,shuffled_size_allocation,0.6442967839617713,0.4745821686209739
33,2,lesion_size_only,0.7501325654093435,0.6508027603926053
33,2,svm_classical_fixed_4g_4l,0.9760653957351269,0.95750267312506
33,3,global_only,0.601585538811416,0.5246347343060948
33,3,local_only,0.5002528944414909,0.3836108403733256
33,3,fixed_4g_4l,0.6441715772856124,0.5956075400753896
33,3,random_allocation,0.5801867986626759,0.411050733494555
33,3,proposed_lsa_glqie,0.4220062852190045,0.3586117976934255
33,3,classical_proposed,0.9031027046377924,0.8370138563025202
33,3,classical_fixed_4g_4l,0.9548161390266654,0.913100612222686
33,3,svm_classical_proposed,0.9435519808326824,0.8830512565870551
33,3,fixed_2g_6l,0.5188533546537932,0.3607631568498406
33,3,fixed_6g_2l,0.4478029889214099,0.3997564570789944
33,3,shuffled_size_allocation,0.5262098707822392,0.4063790862760584
33,3,lesion_size_only,0.7362664950384249,0.6462052448507066
33,3,svm_classical_fixed_4g_4l,0.9617194554146308,0.926807042208243
33,4,global_only,0.5365069442081826,0.401729902331078
33,4,local_only,0.5114502886174713,0.3962505608131133
33,4,fixed_4g_4l,0.391757485720334,0.3303359963115288
33,4,random_allocation,0.580379705863452,0.4292061806847192
33,4,proposed_lsa_glqie,0.5435337495322016,0.4197828257263816
33,4,classical_proposed,0.8814094767461641,0.7851873163088608
33,4,classical_fixed_4g_4l,0.9270012559679742,0.8406490671919125
33,4,svm_classical_proposed,0.9642290114426336,0.9159173653606852
33,4,fixed_2g_6l,0.574730070840752,0.4431772250914794
33,4,fixed_6g_2l,0.4137183314621395,0.3257788923087089
33,4,shuffled_size_allocation,0.5358965617286051,0.4014898809305861
33,4,lesion_size_only,0.7911564828360494,0.6376864367118364
33,4,svm_classical_fixed_4g_4l,0.9843728618302922,0.9639135957528056
33,5,global_only,0.6411792411792412,0.4771537762197961
33,5,local_only,0.4272069772069772,0.3171617734486673
33,5,fixed_4g_4l,0.4475973975973976,0.3322307727314671
33,5,random_allocation,0.4761269761269761,0.4001763082565193
33,5,proposed_lsa_glqie,0.5691644691644692,0.429386716623455
33,5,classical_proposed,0.8855803855803855,0.8267746649593694
33,5,classical_fixed_4g_4l,0.982963032963033,0.9675624271583868
33,5,svm_classical_proposed,0.9643179893179892,0.9111913655252212
33,5,fixed_2g_6l,0.6796547296547297,0.5797135299245036
33,5,fixed_6g_2l,0.5262591012591011,0.405556665827801
33,5,shuffled_size_allocation,0.5525948275948276,0.4568757000230171
33,5,lesion_size_only,0.6497990247990247,0.4750309281698637
33,5,svm_classical_fixed_4g_4l,0.9858538108538109,0.9652781010307891
11,1,deep_quantum_fusion,0.9688810144455308,0.953997383150124
11,2,deep_quantum_fusion,0.959367991323432,0.9086980957006436
11,3,deep_quantum_fusion,0.9535224055509144,0.949156537871667
11,4,deep_quantum_fusion,0.9782297703156836,0.968309668174802
11,5,deep_quantum_fusion,0.972057272057272,0.9511989925783028
